Monitoring started on: ernie
--------------------------------------------------------
Timestamp           | %CPU    | Memory (GB)  | GPU Usage
--------------------------------------------------------
2025-12-15 15:09:57 | 6.1     | 0.01        
2025-12-15 15:10:58 | 3.6     | 0.31        
2025-12-15 15:11:59 | 3.9     | 0.40        
2025-12-15 15:12:59 | 3.8     | 0.44        
2025-12-15 17:11:10 | 79.4    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  23% | Processes:  1
2025-12-15 17:12:11 | 79.5    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  85% | Processes:  1
2025-12-15 17:13:12 | 79.5    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  87% | Processes:  1
2025-12-15 17:14:12 | 79.4    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  65% | Processes:  1
2025-12-15 17:15:13 | 79.4    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  83% | Processes:  1
2025-12-15 17:16:14 | 79.5    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  90% | Processes:  1
2025-12-15 17:17:14 | 79.5    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  83% | Processes:  1
2025-12-15 17:18:15 | 79.6    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 17:19:16 | 79.7    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  95% | Processes:  1
2025-12-15 17:20:16 | 79.8    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  91% | Processes:  1
2025-12-15 17:21:18 | 79.7    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  48% | Processes:  1
2025-12-15 17:22:19 | 79.7    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  89% | Processes:  1
2025-12-15 17:23:20 | 79.8    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  89% | Processes:  1
2025-12-15 17:24:21 | 79.9    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  80% | Processes:  1
2025-12-15 17:25:21 | 80      | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  91% | Processes:  1
2025-12-15 17:26:22 | 80.1    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  89% | Processes:  1
2025-12-15 17:27:23 | 80.2    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 17:28:23 | 80.2    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  95% | Processes:  1
2025-12-15 17:29:24 | 80.2    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  83% | Processes:  1
2025-12-15 17:30:25 | 80.3    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  85% | Processes:  1
2025-12-15 17:31:25 | 80.4    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 17:32:26 | 80.5    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 17:33:27 | 80.6    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  90% | Processes:  1
2025-12-15 17:34:27 | 80.6    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  91% | Processes:  1
2025-12-15 17:35:30 | 80.7    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  41% | Processes:  1
2025-12-15 17:36:31 | 80.8    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  88% | Processes:  1
2025-12-15 17:37:32 | 80.8    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  91% | Processes:  1
2025-12-15 17:38:33 | 80.8    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  50% | Processes:  1
2025-12-15 17:39:34 | 80.7    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  52% | Processes:  1
2025-12-15 17:40:35 | 80.6    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  70% | Processes:  1
2025-12-15 17:41:39 | 80.5    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:   0% | Processes:  1
2025-12-15 17:42:40 | 80.5    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  96% | Processes:  1
2025-12-15 17:43:41 | 80.6    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  90% | Processes:  1
2025-12-15 17:44:41 | 80.7    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  91% | Processes:  1
2025-12-15 17:45:42 | 80.8    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  88% | Processes:  1
2025-12-15 17:46:43 | 80.8    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  85% | Processes:  1
2025-12-15 17:47:44 | 80.9    | 1.74         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  79% | Processes:  1
2025-12-15 17:48:44 | 81      | 1.74         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  95% | Processes:  1
2025-12-15 17:49:45 | 81      | 1.74         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  91% | Processes:  1
2025-12-15 17:50:46 | 80.9    | 1.74         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  87% | Processes:  1
2025-12-15 17:51:46 | 80.9    | 1.74         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  96% | Processes:  1
2025-12-15 17:52:50 | 80.9    | 1.74         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  27% | Processes:  1
2025-12-15 17:53:50 | 81      | 1.74         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  91% | Processes:  1
2025-12-15 17:54:51 | 81.1    | 1.74         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  88% | Processes:  1
2025-12-15 17:55:52 | 81.2    | 1.74         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  90% | Processes:  1
2025-12-15 17:56:53 | 81.2    | 1.74         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 17:57:53 | 81.3    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 17:58:54 | 81.3    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  95% | Processes:  1
2025-12-15 17:59:55 | 81.4    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 18:00:57 | 81.4    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:   0% | Processes:  1
2025-12-15 18:01:58 | 81.4    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  85% | Processes:  1
2025-12-15 18:02:59 | 81.1    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 18:04:00 | 81.2    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 18:05:01 | 81.2    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  90% | Processes:  1
2025-12-15 18:06:02 | 81.2    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  42% | Processes:  1
2025-12-15 18:07:03 | 81.2    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  49% | Processes:  1
2025-12-15 18:08:04 | 81.3    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 18:09:04 | 81.3    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 18:10:05 | 81.3    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 18:11:06 | 81.4    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  89% | Processes:  1
2025-12-15 18:12:06 | 81.4    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 18:13:07 | 81.5    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 18:14:08 | 81.6    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 18:15:09 | 81.5    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  90% | Processes:  1
2025-12-15 18:16:10 | 81.5    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:   0% | Processes:  1
2025-12-15 18:17:11 | 81.5    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  89% | Processes:  1
2025-12-15 18:18:12 | 81.4    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  89% | Processes:  1
2025-12-15 18:19:12 | 81.4    | 1.74         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  79% | Processes:  1
2025-12-15 18:20:13 | 81.4    | 1.74         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  85% | Processes:  1
2025-12-15 18:21:14 | 81.5    | 1.74         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  95% | Processes:  1
2025-12-15 18:22:14 | 81.5    | 1.74         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 18:23:15 | 81.5    | 1.74         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  90% | Processes:  1
2025-12-15 18:24:16 | 81.5    | 1.74         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 18:25:16 | 81.6    | 1.74         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  87% | Processes:  1
2025-12-15 18:26:17 | 81.7    | 1.74         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  83% | Processes:  1
2025-12-15 18:27:18 | 81.7    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  91% | Processes:  1
2025-12-15 18:28:19 | 81.8    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 18:29:19 | 81.9    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 18:30:20 | 81.9    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  89% | Processes:  1
2025-12-15 18:31:21 | 81.9    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  60% | Processes:  1
2025-12-15 18:32:22 | 82      | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  95% | Processes:  1
2025-12-15 18:33:23 | 81.9    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  87% | Processes:  1
